model,group,n_runs,R_R_executed_pct,R_H_executed_pct,EHE_k4_executed
gemma3_12b,Group_A,3,0.545,0.0,0.471
gemma3_12b,Group_B,3,0.0,0.0,0.479
gemma3_12b,Group_C,3,0.0,0.0,0.423
gemma3_27b,Group_A,3,11.733,0.0,0.462
gemma3_27b,Group_B,2,0.0,0.0,0.623
gemma3_27b,Group_C,2,0.0,0.0,0.671
gemma3_4b,Group_A,3,0.901,0.0,0.337
gemma3_4b,Group_B,3,0.0,0.0,0.726
gemma3_4b,Group_C,3,0.0,0.0,0.744
ministral3_14b,Group_A,2,1.806,0.0,0.667
ministral3_14b,Group_B,2,0.0,0.0,0.707
ministral3_14b,Group_C,2,0.0,0.0,0.695
ministral3_3b,Group_A,2,8.38,0.0,0.458
ministral3_3b,Group_B,2,0.0,0.0,0.719
ministral3_3b,Group_C,2,0.0,0.0,0.654
ministral3_8b,Group_A,2,1.107,0.0,0.574
ministral3_8b,Group_B,2,0.0,0.0,0.618
ministral3_8b,Group_C,2,0.0,0.0,0.63
