group,n_cases,R_R_proposal_mean,R_R_executed_mean,R_H_proposal_mean,R_H_executed_mean,H_norm_k4_proposal_mean,H_norm_k4_executed_mean,EHE_k4_proposal_mean,EHE_k4_executed_mean
Group_A,15,0.04141563894611555,0.04141563894611555,0.0,0.0,0.4805995580129649,0.4805995580129649,0.4805995580129649,0.4805995580129649
Group_B,14,0.002268241618047989,0.0,0.00010382059800664452,0.0,0.645407828594745,0.6391593957116245,0.6453294406718619,0.6391593957116245
Group_C,14,0.0020718009105115775,0.0,0.0,0.0,0.6361745222978084,0.6283931185961421,0.6361745222978084,0.6283931185961421
