group,n_cases,R_R_proposal_mean,R_R_executed_mean,R_H_proposal_mean,R_H_executed_mean,H_norm_k4_proposal_mean,H_norm_k4_executed_mean,EHE_k4_proposal_mean,EHE_k4_executed_mean
Group_A,12,0.041426011267678454,0.041426011267678454,0.0,0.0,0.4967618321209512,0.4967618321209512,0.4967618321209512,0.4967618321209512
Group_B,12,0.001631049174664202,0.0,0.00012112403100775194,0.0,0.6576467078399163,0.6514016224516476,0.6575552552632195,0.6514016224516476
Group_C,12,0.002329010857894233,0.0,0.0,0.0,0.6483316087230252,0.640237365868471,0.6483316087230252,0.640237365868471
